epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2030.03,0.72749,0.57065,1.06401,0.94119,0.9032,0.93889,0.71771,0.78805,0.54195,1.04646,0.000741194,0.000741194,0.000741194
43,2076.31,0.69578,0.54136,1.04416,0.89653,0.92672,0.94647,0.69364,0.86646,0.55676,1.1016,0.000729725,0.000729725,0.000729725
44,2121.33,0.70804,0.54847,1.04452,0.933,0.91382,0.94618,0.684,1.00407,0.54947,1.16161,0.000718103,0.000718103,0.000718103
45,2166.86,0.74613,0.56538,1.06945,0.96145,0.89755,0.93803,0.71538,0.65684,0.49413,1.01434,0.000706335,0.000706335,0.000706335
46,2210.81,0.7188,0.5476,1.05636,0.93512,0.90236,0.93484,0.69155,0.77118,0.51403,1.05369,0.000694428,0.000694428,0.000694428
47,2255.12,0.76648,0.55918,1.08822,0.90303,0.93148,0.93946,0.71008,0.70332,0.52616,1.05009,0.000682392,0.000682392,0.000682392
48,2299.51,0.72515,0.55404,1.06942,0.98199,0.87543,0.94648,0.72801,0.7863,0.52335,1.05479,0.000670234,0.000670234,0.000670234
49,2344.14,0.67671,0.51208,1.02911,0.95134,0.88571,0.93511,0.7205,0.72756,0.49068,1.03259,0.000657963,0.000657963,0.000657963
50,2388.34,0.71704,0.53636,1.0642,0.91699,0.86069,0.92927,0.70635,0.70577,0.53452,1.03194,0.000645588,0.000645588,0.000645588
51,2434.61,0.7143,0.54591,1.05418,0.8989,0.88488,0.91676,0.72429,0.63824,0.52022,0.99248,0.000633115,0.000633115,0.000633115
52,2479.66,0.6858,0.51351,1.04949,0.94378,0.86294,0.9313,0.7173,0.68251,0.51214,1.01288,0.000620555,0.000620555,0.000620555
53,2525.48,0.69904,0.51613,1.05273,0.91638,0.86985,0.93571,0.72473,0.68381,0.53424,1.0176,0.000607916,0.000607916,0.000607916
54,2569.76,0.68744,0.55291,1.04117,0.91024,0.88131,0.93645,0.71699,0.76508,0.52493,1.04364,0.000595207,0.000595207,0.000595207
55,2613.15,0.73301,0.52154,1.06852,0.87047,0.90205,0.94367,0.69923,0.89032,0.56981,1.12806,0.000582435,0.000582435,0.000582435
56,2657.34,0.66269,0.51428,1.02966,0.89381,0.84847,0.92401,0.70636,0.81648,0.61926,1.0878,0.00056961,0.00056961,0.00056961
57,2702.02,0.68165,0.51297,1.03839,0.89673,0.90923,0.91021,0.66429,0.89562,0.56655,1.09359,0.000556742,0.000556742,0.000556742
58,2746.31,0.67843,0.50456,1.04753,0.91152,0.88437,0.92039,0.7102,0.69861,0.51743,1.03331,0.000543837,0.000543837,0.000543837
59,2792.01,0.68056,0.50643,1.02929,0.90364,0.91172,0.93665,0.71794,0.76236,0.51086,1.06957,0.000530906,0.000530906,0.000530906
60,2836.9,0.69651,0.50865,1.03827,0.9326,0.88538,0.93529,0.72185,0.71077,0.49624,1.03367,0.000517958,0.000517958,0.000517958
61,2879.35,0.68817,0.49413,1.04554,0.89836,0.92424,0.94035,0.70722,0.81052,0.49756,1.05966,0.000505,0.000505,0.000505
62,2922.06,0.68196,0.47744,1.05127,0.93531,0.90142,0.94558,0.7204,0.70468,0.47545,1.04315,0.000492042,0.000492042,0.000492042
63,2964.86,0.65748,0.48981,1.02973,0.9345,0.92381,0.9453,0.69531,0.84937,0.48627,1.08721,0.000479094,0.000479094,0.000479094
64,3006.54,0.70164,0.50711,1.04779,0.92645,0.91481,0.96312,0.7326,0.69129,0.45884,1.0427,0.000466163,0.000466163,0.000466163
65,3049.45,0.73292,0.49934,1.0801,0.90921,0.91742,0.94878,0.71482,0.76682,0.49637,1.04313,0.000453258,0.000453258,0.000453258
66,3093.73,0.71108,0.5061,1.04675,0.92161,0.9138,0.94249,0.71596,0.81568,0.50532,1.0466,0.00044039,0.00044039,0.00044039
67,3138.46,0.65641,0.4923,1.02873,0.94491,0.92401,0.95536,0.74316,0.70259,0.46902,1.01833,0.000427565,0.000427565,0.000427565
68,3183.04,0.71291,0.49563,1.06617,0.94149,0.90132,0.94368,0.72521,0.81591,0.47126,1.03898,0.000414793,0.000414793,0.000414793
69,3227.91,0.69296,0.48499,1.03723,0.93155,0.91497,0.94495,0.73794,0.69868,0.4614,1.00917,0.000402084,0.000402084,0.000402084
70,3272.32,0.70779,0.52639,1.06229,0.91365,0.91876,0.94332,0.74619,0.65948,0.45312,1.00052,0.000389445,0.000389445,0.000389445
71,3315,0.67667,0.47853,1.04431,0.90883,0.90426,0.93562,0.72146,0.72839,0.46958,1.00774,0.000376885,0.000376885,0.000376885
72,3357.11,0.67192,0.47678,1.03318,0.91345,0.92219,0.94581,0.73364,0.66568,0.44666,1.01411,0.000364412,0.000364412,0.000364412
73,3400.62,0.65838,0.46783,1.01857,0.90257,0.92473,0.94852,0.72385,0.76452,0.47683,1.01851,0.000352037,0.000352037,0.000352037
74,3443.29,0.67079,0.46015,1.01688,0.891,0.88081,0.94465,0.71562,0.73994,0.49231,1.00894,0.000339766,0.000339766,0.000339766
75,3484.94,0.61115,0.45483,0.98763,0.9266,0.89227,0.94707,0.71895,0.78705,0.4807,1.02507,0.000327608,0.000327608,0.000327608
76,3530.63,0.69051,0.46326,1.04607,0.90369,0.9017,0.94597,0.7158,0.83234,0.48064,1.05837,0.000315572,0.000315572,0.000315572
77,3573.37,0.64365,0.46624,1.01427,0.93978,0.89191,0.94769,0.72885,0.70276,0.45284,1.02993,0.000303665,0.000303665,0.000303665
78,3615.76,0.62637,0.44498,1.01314,0.92023,0.88597,0.93458,0.72695,0.72362,0.44012,1.04514,0.000291897,0.000291897,0.000291897
79,3659.56,0.62547,0.45167,1.01993,0.93202,0.89941,0.93497,0.73206,0.73237,0.43673,1.0516,0.000280275,0.000280275,0.000280275
80,3703.49,0.64009,0.44192,1.02615,0.94051,0.89099,0.93766,0.71561,0.74964,0.44303,1.04999,0.000268806,0.000268806,0.000268806
81,3744.8,0.64461,0.45235,1.01759,0.94591,0.8903,0.94057,0.72524,0.72162,0.44106,1.03159,0.0002575,0.0002575,0.0002575
82,3787.87,0.6049,0.4416,0.98864,0.96207,0.87769,0.94865,0.73461,0.6773,0.43996,1.01656,0.000246363,0.000246363,0.000246363
83,3831.21,0.64665,0.44729,1.0309,0.92306,0.8962,0.94574,0.72522,0.73346,0.45311,1.0427,0.000235404,0.000235404,0.000235404
84,3875.73,0.66112,0.44799,1.03579,0.93136,0.88182,0.94775,0.708,0.82342,0.47305,1.06603,0.000224629,0.000224629,0.000224629
85,3917.96,0.63558,0.45336,1.01529,0.91012,0.92473,0.95592,0.73831,0.72002,0.45494,1.03064,0.000214046,0.000214046,0.000214046
86,3960.79,0.61603,0.42848,0.99708,0.93482,0.89593,0.94789,0.75821,0.67821,0.44909,0.9982,0.000203663,0.000203663,0.000203663
87,4005.1,0.60399,0.42944,0.99925,0.91153,0.90718,0.94801,0.71867,0.83895,0.47004,1.04639,0.000193486,0.000193486,0.000193486
88,4046.07,0.63031,0.4286,0.9977,0.89054,0.9124,0.94621,0.72878,0.75524,0.4561,1.02609,0.000183523,0.000183523,0.000183523
89,4087.57,0.61756,0.44479,1.00935,0.93464,0.87836,0.9507,0.74611,0.65417,0.45116,0.99787,0.00017378,0.00017378,0.00017378
90,4130.54,0.60421,0.4225,0.9877,0.93304,0.87287,0.94143,0.73159,0.71512,0.45824,1.01481,0.000164264,0.000164264,0.000164264
91,4175.09,0.61445,0.42375,1.00619,0.90813,0.90968,0.93749,0.72573,0.76288,0.46433,1.03137,0.000154982,0.000154982,0.000154982
92,4216.6,0.58504,0.41182,0.98432,0.91991,0.90247,0.94566,0.72863,0.75737,0.45361,1.02724,0.00014594,0.00014594,0.00014594
93,4261.06,0.61503,0.42381,1.00255,0.93613,0.90764,0.95041,0.74357,0.6786,0.43638,1.0079,0.000137143,0.000137143,0.000137143
94,4303.91,0.58887,0.40883,0.98625,0.95331,0.91818,0.95162,0.73636,0.75489,0.43941,1.03422,0.000128599,0.000128599,0.000128599
95,4345.3,0.65156,0.43139,1.02652,0.91892,0.92379,0.94604,0.71669,0.82253,0.44859,1.05437,0.000120313,0.000120313,0.000120313
96,4387.59,0.62944,0.42351,1.0168,0.90759,0.92352,0.94922,0.73454,0.75747,0.43849,1.03489,0.00011229,0.00011229,0.00011229
97,4430.28,0.61694,0.41249,1.00658,0.92485,0.90368,0.94983,0.74431,0.69835,0.43545,1.02114,0.000104537,0.000104537,0.000104537
98,4472.51,0.60135,0.40129,0.99876,0.9306,0.90553,0.95076,0.7397,0.71767,0.44359,1.019,9.70575e-05,9.70575e-05,9.70575e-05
99,4516.21,0.58977,0.41014,0.97549,0.89515,0.91126,0.94606,0.723,0.75549,0.45504,1.03239,8.98581e-05,8.98581e-05,8.98581e-05
100,4556.98,0.61463,0.42582,1.01168,0.90309,0.91506,0.94939,0.7371,0.70363,0.43915,1.01747,8.29431e-05,8.29431e-05,8.29431e-05
101,4598.97,0.57232,0.39869,0.97549,0.95578,0.89348,0.95493,0.74806,0.66025,0.43106,0.99742,7.63174e-05,7.63174e-05,7.63174e-05
102,4642.96,0.56452,0.40097,0.97231,0.92532,0.89858,0.93906,0.74486,0.71099,0.43435,1.00763,6.99855e-05,6.99855e-05,6.99855e-05
103,4685.2,0.56894,0.39102,0.97926,0.93101,0.8867,0.93161,0.72289,0.75242,0.43797,1.01912,6.39518e-05,6.39518e-05,6.39518e-05
104,4727.74,0.5909,0.40624,0.99774,0.90586,0.91721,0.93212,0.72064,0.75246,0.43284,1.01985,5.82203e-05,5.82203e-05,5.82203e-05
105,4769.68,0.56802,0.39245,0.9755,0.88982,0.91978,0.93144,0.70862,0.77698,0.44047,1.0269,5.2795e-05,5.2795e-05,5.2795e-05
106,4813.11,0.53177,0.3585,0.94274,0.9261,0.89529,0.93845,0.73717,0.68858,0.4351,0.9995,4.76796e-05,4.76796e-05,4.76796e-05
